gene_id,Not significant,m6A depleted,m6A enriched,msa_var
ENSMUSG00000001998,6,1,0,Not significant
ENSMUSG00000001999,3,4,0,m6A depleted
ENSMUSG00000002006,5,0,2,Not significant
ENSMUSG00000002007,7,0,0,Not significant
ENSMUSG00000002010,0,7,0,m6A depleted
ENSMUSG00000002012,6,1,0,Not significant
ENSMUSG00000002014,2,5,0,m6A depleted
ENSMUSG00000002015,5,2,0,Not significant
ENSMUSG00000002017,7,0,0,Not significant
ENSMUSG00000002020,7,0,0,Not significant
ENSMUSG00000002028,6,0,1,Not significant
ENSMUSG00000002031,5,2,0,Not significant
ENSMUSG00000002032,6,1,0,Not significant
ENSMUSG00000002033,2,0,0,Not significant
ENSMUSG00000002043,5,2,0,Not significant
ENSMUSG00000002052,3,3,1,m6A depleted
ENSMUSG00000002055,7,0,0,Not significant
ENSMUSG00000002057,1,0,0,Not significant
ENSMUSG00000002058,1,6,0,m6A depleted
ENSMUSG00000002059,2,5,0,m6A depleted
ENSMUSG00000002064,4,0,3,m6A enriched
ENSMUSG00000002068,4,3,0,m6A depleted
ENSMUSG00000002076,7,0,0,Not significant
ENSMUSG00000002083,3,0,4,m6A enriched
ENSMUSG00000002100,7,0,0,Not significant
ENSMUSG00000002102,6,1,0,Not significant
ENSMUSG00000002103,3,0,4,m6A enriched
ENSMUSG00000002104,7,0,0,Not significant
ENSMUSG00000002105,4,3,0,m6A depleted
ENSMUSG00000002107,3,4,0,m6A depleted
ENSMUSG00000002108,7,0,0,Not significant
ENSMUSG00000002109,6,1,0,Not significant
ENSMUSG00000002111,4,0,1,Not significant
ENSMUSG00000002129,6,1,0,Not significant
ENSMUSG00000002147,6,1,0,Not significant
ENSMUSG00000002190,7,0,0,Not significant
ENSMUSG00000002204,3,0,0,Not significant
ENSMUSG00000002205,1,6,0,m6A depleted
ENSMUSG00000002210,5,2,0,Not significant
ENSMUSG00000002221,6,0,1,Not significant
ENSMUSG00000002222,6,0,1,Not significant
ENSMUSG00000002227,6,1,0,Not significant
ENSMUSG00000002228,7,0,0,Not significant
ENSMUSG00000002233,6,1,0,Not significant
ENSMUSG00000002249,6,1,0,Not significant
ENSMUSG00000002250,6,1,0,Not significant
ENSMUSG00000002257,6,0,1,Not significant
ENSMUSG00000002265,6,0,1,Not significant
ENSMUSG00000002266,4,0,3,m6A enriched
ENSMUSG00000002274,5,2,0,Not significant
ENSMUSG00000002279,4,3,0,m6A depleted
ENSMUSG00000002280,3,0,4,m6A enriched
ENSMUSG00000002289,6,0,1,Not significant
ENSMUSG00000002297,1,0,6,m6A enriched
ENSMUSG00000002307,2,0,5,m6A enriched
ENSMUSG00000002308,7,0,0,Not significant
ENSMUSG00000002319,7,0,0,Not significant
ENSMUSG00000002320,6,1,0,Not significant
ENSMUSG00000002324,6,1,0,Not significant
ENSMUSG00000002325,7,0,0,Not significant
ENSMUSG00000002326,4,3,0,m6A depleted
ENSMUSG00000002329,5,2,0,Not significant
ENSMUSG00000002332,1,6,0,m6A depleted
ENSMUSG00000002341,6,0,1,Not significant
ENSMUSG00000002342,3,4,0,m6A depleted
ENSMUSG00000002343,7,0,0,Not significant
ENSMUSG00000002345,5,2,0,Not significant
ENSMUSG00000002346,5,2,0,Not significant
ENSMUSG00000002365,4,2,1,Not significant
ENSMUSG00000002372,7,0,0,Not significant
ENSMUSG00000002379,3,4,0,m6A depleted
ENSMUSG00000002384,7,0,0,Not significant
ENSMUSG00000002393,5,0,2,Not significant
ENSMUSG00000002395,4,3,0,m6A depleted
ENSMUSG00000002396,6,0,1,Not significant
ENSMUSG00000002409,7,0,0,Not significant
ENSMUSG00000002413,2,5,0,m6A depleted
ENSMUSG00000002416,5,2,0,Not significant
ENSMUSG00000002428,3,4,0,m6A depleted
ENSMUSG00000002455,5,2,0,Not significant
ENSMUSG00000002458,7,0,0,Not significant
ENSMUSG00000002459,7,0,0,Not significant
ENSMUSG00000002475,7,0,0,Not significant
ENSMUSG00000002477,5,2,0,Not significant
ENSMUSG00000002486,6,1,0,Not significant
ENSMUSG00000002489,7,0,0,Not significant
ENSMUSG00000002496,4,3,0,m6A depleted
ENSMUSG00000002500,1,0,0,Not significant
ENSMUSG00000002504,6,1,0,Not significant
ENSMUSG00000002524,5,2,0,Not significant
ENSMUSG00000002546,6,1,0,Not significant
ENSMUSG00000002550,6,1,0,Not significant
ENSMUSG00000002565,5,0,0,Not significant
ENSMUSG00000002578,7,0,0,Not significant
ENSMUSG00000002580,5,2,0,Not significant
ENSMUSG00000002588,1,0,0,Not significant
ENSMUSG00000002602,2,5,0,m6A depleted
ENSMUSG00000002603,7,0,0,Not significant
ENSMUSG00000002608,6,1,0,Not significant
ENSMUSG00000002617,2,0,5,m6A enriched
ENSMUSG00000002625,6,0,1,Not significant
ENSMUSG00000002633,7,0,0,Not significant
ENSMUSG00000002635,6,1,0,Not significant
ENSMUSG00000002658,7,0,0,Not significant
ENSMUSG00000002660,6,1,0,Not significant
ENSMUSG00000002661,5,2,0,Not significant
ENSMUSG00000002664,2,0,0,Not significant
ENSMUSG00000002668,7,0,0,Not significant
ENSMUSG00000002679,7,0,0,Not significant
ENSMUSG00000002688,4,3,0,m6A depleted
ENSMUSG00000002699,1,2,0,Not significant
ENSMUSG00000002718,5,2,0,Not significant
ENSMUSG00000002728,6,1,0,Not significant
ENSMUSG00000002731,2,5,0,m6A depleted
ENSMUSG00000002732,7,0,0,Not significant
ENSMUSG00000002733,2,5,0,m6A depleted
ENSMUSG00000002741,6,1,0,Not significant
ENSMUSG00000002748,6,0,1,Not significant
ENSMUSG00000002763,2,5,0,m6A depleted
ENSMUSG00000002767,5,2,0,Not significant
ENSMUSG00000002768,6,1,0,Not significant
ENSMUSG00000002769,7,0,0,Not significant
ENSMUSG00000002771,7,0,0,Not significant
ENSMUSG00000002778,2,5,0,m6A depleted
ENSMUSG00000002781,7,0,0,Not significant
ENSMUSG00000002791,7,0,0,Not significant
ENSMUSG00000002797,7,0,0,Not significant
ENSMUSG00000002799,7,0,0,Not significant
ENSMUSG00000002803,1,0,6,m6A enriched
ENSMUSG00000002804,3,4,0,m6A depleted
ENSMUSG00000002808,7,0,0,Not significant
ENSMUSG00000002812,3,4,0,m6A depleted
ENSMUSG00000002814,3,0,4,m6A enriched
ENSMUSG00000002820,4,3,0,m6A depleted
ENSMUSG00000002825,4,3,0,m6A depleted
ENSMUSG00000002831,6,0,1,Not significant
ENSMUSG00000002833,6,1,0,Not significant
ENSMUSG00000002835,3,2,2,Not significant
ENSMUSG00000002844,6,1,0,Not significant
ENSMUSG00000002845,4,3,0,m6A depleted
ENSMUSG00000002846,4,3,0,m6A depleted
ENSMUSG00000002847,7,0,0,Not significant
ENSMUSG00000002870,5,2,0,Not significant
ENSMUSG00000002871,5,2,0,Not significant
ENSMUSG00000002881,3,0,4,m6A enriched
ENSMUSG00000002885,6,1,0,Not significant
ENSMUSG00000002897,5,0,2,Not significant
ENSMUSG00000002900,4,3,0,m6A depleted
ENSMUSG00000002908,5,0,2,Not significant
ENSMUSG00000002910,6,0,1,Not significant
ENSMUSG00000002930,4,1,0,Not significant
ENSMUSG00000002944,7,0,0,Not significant
ENSMUSG00000002948,6,0,1,Not significant
ENSMUSG00000002949,6,0,1,Not significant
ENSMUSG00000002957,3,4,0,m6A depleted
ENSMUSG00000002963,3,4,0,m6A depleted
ENSMUSG00000002968,5,2,0,Not significant
ENSMUSG00000002980,3,4,0,m6A depleted
ENSMUSG00000002981,4,3,0,m6A depleted
ENSMUSG00000002983,6,1,0,Not significant
ENSMUSG00000002984,6,1,0,Not significant
ENSMUSG00000002985,6,1,0,Not significant
ENSMUSG00000002996,6,1,0,Not significant
ENSMUSG00000002997,7,0,0,Not significant
ENSMUSG00000003031,7,0,0,Not significant
ENSMUSG00000003032,2,0,5,m6A enriched
ENSMUSG00000003033,1,6,0,m6A depleted
ENSMUSG00000003037,6,1,0,Not significant
ENSMUSG00000003038,7,0,0,Not significant
ENSMUSG00000003039,0,0,7,m6A enriched
ENSMUSG00000003051,3,0,2,Not significant
ENSMUSG00000003062,0,7,0,m6A depleted
ENSMUSG00000003068,6,0,1,Not significant
